dataset,refinement,elements,jm_dofs,h1_dofs,basis,smoother,h1,damping,iterations,residual,converged,moment_assembly_s,vertex_assembly_s,basis_map_s,aux_setup_s,smoother_setup_s,solve_median_s,apply_median_s
triangle_random,2,16,168,45,moment,jacobi,unsplit,1,40,9.64436077e-09,1,0.000915511,0.004525244,0.000208232,0.002595568,1.022e-06,0.001074188,2.137e-05
triangle_random,2,16,168,45,moment,macro,unsplit,1,19,7.74497814e-09,1,0.000915511,0.004525244,0.000208232,0.002595568,0.000154761,0.000742396,3.1759e-05
triangle_random,2,16,168,45,moment,split,unsplit,1,24,5.11089301e-09,1,0.000915511,0.004525244,0.000208232,0.002595568,4.4353e-05,0.000789514,2.676e-05
triangle_random,2,16,168,45,vertex,jacobi,unsplit,1,34,4.3157303e-09,1,0.000915511,0.004525244,0.000208232,0.002595568,7.71e-07,0.001003556,2.3173e-05
triangle_random,2,16,168,45,vertex,macro,unsplit,1,19,7.74509403e-09,1,0.000915511,0.004525244,0.000208232,0.002595568,0.000119755,0.000811686,3.4415e-05
triangle_random,2,16,168,45,vertex,split,unsplit,1,24,5.11089301e-09,1,0.000915511,0.004525244,0.000208232,0.002595568,3.5988e-05,0.000802098,2.667e-05
triangle_random,2,16,168,93,moment,jacobi,split,1,38,8.55068149e-09,1,0.000915511,0.004525244,0.000208232,0.002465504,7.41e-07,0.001158237,2.4446e-05
triangle_random,2,16,168,93,moment,macro,split,1,19,5.73165674e-09,1,0.000915511,0.004525244,0.000208232,0.002465504,0.000130004,0.000804282,3.4666e-05
triangle_random,2,16,168,93,moment,split,split,1,23,7.63830598e-09,1,0.000915511,0.004525244,0.000208232,0.002465504,3.1299e-05,0.000838065,2.9686e-05
triangle_random,2,16,168,93,vertex,jacobi,split,1,31,8.62111103e-09,1,0.000915511,0.004525244,0.000208232,0.002465504,6.61e-07,0.001044262,2.667e-05
triangle_random,2,16,168,93,vertex,macro,split,1,19,5.73394622e-09,1,0.000915511,0.004525244,0.000208232,0.002465504,0.000147778,0.000880345,3.693e-05
triangle_random,2,16,168,93,vertex,split,split,1,23,7.63830598e-09,1,0.000915511,0.004525244,0.000208232,0.002465504,3.7711e-05,0.000851941,3.0026e-05
triangle_random,3,64,624,135,moment,jacobi,unsplit,1,66,9.42625814e-09,1,0.003109925,0.018120804,0.000756462,0.008430643,2.195e-06,0.008851335,0.000103645
triangle_random,3,64,624,135,moment,macro,unsplit,1,21,6.1070886e-09,1,0.003109925,0.018120804,0.000756462,0.008430643,0.000912615,0.003621276,0.000135685
triangle_random,3,64,624,135,moment,split,unsplit,1,29,6.48324883e-09,1,0.003109925,0.018120804,0.000756462,0.008430643,0.000199164,0.004705062,0.000115757
triangle_random,3,64,624,135,vertex,jacobi,unsplit,1,42,8.18852583e-09,1,0.003109925,0.018120804,0.000756462,0.008430643,1.493e-06,0.0061458,0.000115227
triangle_random,3,64,624,135,vertex,macro,unsplit,1,21,6.12404626e-09,1,0.003109925,0.018120804,0.000756462,0.008430643,0.000786398,0.00411323,0.000147868
triangle_random,3,64,624,135,vertex,split,unsplit,1,29,6.48324883e-09,1,0.003109925,0.018120804,0.000756462,0.008430643,0.000105588,0.004723186,0.000116489
triangle_random,3,64,624,327,moment,jacobi,split,1,56,8.13196173e-09,1,0.003109925,0.018120804,0.000756462,0.009217703,1.443e-06,0.008327831,0.000118092
triangle_random,3,64,624,327,moment,macro,split,1,21,3.93165676e-09,1,0.003109925,0.018120804,0.000756462,0.009217703,0.000735071,0.004310511,0.000158478
triangle_random,3,64,624,327,moment,split,split,1,28,9.51479595e-09,1,0.003109925,0.018120804,0.000756462,0.009217703,0.000193804,0.004837291,0.00015438
triangle_random,3,64,624,327,vertex,jacobi,split,1,40,8.19334302e-09,1,0.003109925,0.018120804,0.000756462,0.009217703,2.004e-06,0.006442397,0.000128301
triangle_random,3,64,624,327,vertex,macro,split,1,21,3.93547395e-09,1,0.003109925,0.018120804,0.000756462,0.009217703,0.000721436,0.00433147,0.000166903
triangle_random,3,64,624,327,vertex,split,split,1,28,9.51479595e-09,1,0.003109925,0.018120804,0.000756462,0.009217703,0.000205526,0.004800832,0.000140424
triangle_random,4,256,2400,459,moment,jacobi,unsplit,1,93,6.76819502e-09,1,0.013226136,0.073609414,0.003064539,0.034621264,2.204e-06,0.068171314,0.00066556
triangle_random,4,256,2400,459,moment,macro,unsplit,1,24,6.54259132e-09,1,0.013226136,0.073609414,0.003064539,0.034621264,0.00378908,0.023246848,0.000811916
triangle_random,4,256,2400,459,moment,split,unsplit,1,34,6.5711587e-09,1,0.013226136,0.073609414,0.003064539,0.034621264,0.000661583,0.028316656,0.000726766
triangle_random,4,256,2400,459,vertex,jacobi,unsplit,1,49,7.17393531e-09,1,0.013226136,0.073609414,0.003064539,0.034621264,1.723e-06,0.038345913,0.000696308
triangle_random,4,256,2400,459,vertex,macro,unsplit,1,24,6.54266653e-09,1,0.013226136,0.073609414,0.003064539,0.034621264,0.003430837,0.023759822,0.000845809
triangle_random,4,256,2400,459,vertex,split,unsplit,1,34,6.5711587e-09,1,0.013226136,0.073609414,0.003064539,0.034621264,0.000692912,0.029001492,0.000754287
triangle_random,4,256,2400,1227,moment,jacobi,split,1,66,9.11284476e-09,1,0.013226136,0.073609414,0.003064539,0.037069986,3.466e-06,0.055798473,0.000822196
triangle_random,4,256,2400,1227,moment,macro,split,1,23,9.15522403e-09,1,0.013226136,0.073609414,0.003064539,0.037069986,0.003354213,0.023256576,0.00096303
triangle_random,4,256,2400,1227,moment,split,split,1,33,9.57658928e-09,1,0.013226136,0.073609414,0.003064539,0.037069986,0.000568468,0.030237756,0.000831843
triangle_random,4,256,2400,1227,vertex,jacobi,split,1,47,6.09875148e-09,1,0.013226136,0.073609414,0.003064539,0.037069986,2.014e-06,0.040750763,0.00078263
triangle_random,4,256,2400,1227,vertex,macro,split,1,23,9.1311344e-09,1,0.013226136,0.073609414,0.003064539,0.037069986,0.003351879,0.025417057,0.000950987
triangle_random,4,256,2400,1227,vertex,split,split,1,33,9.57658928e-09,1,0.013226136,0.073609414,0.003064539,0.037069986,0.000509978,0.030136395,0.000831312
triangle_random,5,1024,9408,1683,moment,jacobi,unsplit,1,117,8.89534857e-09,1,0.052595353,0.292336259,0.013667134,0.136462755,3.927e-06,0.489292428,0.004571191
triangle_random,5,1024,9408,1683,moment,macro,unsplit,1,28,4.31905526e-09,1,0.052595353,0.292336259,0.013667134,0.136462755,0.01345152,0.150369971,0.005884118
triangle_random,5,1024,9408,1683,moment,split,unsplit,1,36,6.70320964e-09,1,0.052595353,0.292336259,0.013667134,0.136462755,0.001866267,0.16331065,0.00549139
triangle_random,5,1024,9408,1683,vertex,jacobi,unsplit,1,52,7.08869904e-09,1,0.052595353,0.292336259,0.013667134,0.136462755,3.656e-06,0.220636943,0.005064178
triangle_random,5,1024,9408,1683,vertex,macro,unsplit,1,28,4.31478283e-09,1,0.052595353,0.292336259,0.013667134,0.136462755,0.012671233,0.117901372,0.005220521
triangle_random,5,1024,9408,1683,vertex,split,unsplit,1,36,6.70320964e-09,1,0.052595353,0.292336259,0.013667134,0.136462755,0.001381676,0.095403562,0.002764405
triangle_random,5,1024,9408,4755,moment,jacobi,split,1,73,8.81160941e-09,1,0.052595353,0.292336259,0.013667134,0.074010919,3.637e-06,0.159269676,0.00234115
triangle_random,5,1024,9408,4755,moment,macro,split,1,27,5.33233645e-09,1,0.052595353,0.292336259,0.013667134,0.074010919,0.00667268,0.080284599,0.003186228
triangle_random,5,1024,9408,4755,moment,split,split,1,36,5.72585266e-09,1,0.052595353,0.292336259,0.013667134,0.074010919,0.001158968,0.088930087,0.002935787
triangle_random,5,1024,9408,4755,vertex,jacobi,split,1,49,9.23755845e-09,1,0.052595353,0.292336259,0.013667134,0.074010919,1.573e-06,0.122381332,0.00258626
triangle_random,5,1024,9408,4755,vertex,macro,split,1,27,5.38736974e-09,1,0.052595353,0.292336259,0.013667134,0.074010919,0.007500255,0.086291067,0.003095117
triangle_random,5,1024,9408,4755,vertex,split,split,1,36,5.72585266e-09,1,0.052595353,0.292336259,0.013667134,0.074010919,0.001153288,0.088776908,0.002589537
