dataset,tolerance,refinement,elements,dofs,smoother,damping,airy_damping,steps,iterations,residual,converged,setup_s,solve_s
triangle,1e-8,0,1,15,macro,0.33,0,1,1,7.81566732e-14,1,6.533e-06,1.1793e-05
triangle,1e-8,0,1,15,macro-vertex,0.33,0,1,1,7.81566732e-14,1,3.1e-07,3.376e-06
triangle,1e-8,0,1,15,split-patches,0.33,0,1,1,7.81566732e-14,1,2e-07,2.815e-06
triangle,1e-8,0,1,15,split,0.33,0.05,1,1,7.81566732e-14,1,1.9e-07,2.746e-06
triangle,1e-8,1,4,48,macro,0.33,0,1,13,4.59145121e-09,1,2.4365e-05,9.7313e-05
triangle,1e-8,1,4,48,macro-vertex,0.33,0,1,13,4.59095843e-09,1,1.4027e-05,0.000101641
triangle,1e-8,1,4,48,split-patches,0.33,0,1,41,5.4593597e-09,1,5.48e-06,0.000220975
triangle,1e-8,1,4,48,split,0.33,0.05,1,37,2.29470967e-09,1,0.000235042,0.000247986
triangle,1e-8,2,16,168,macro,0.33,0,1,20,6.21216118e-09,1,7.958e-05,0.000544023
triangle,1e-8,2,16,168,macro-vertex,0.33,0,1,20,6.21119355e-09,1,6.913e-05,0.000592333
triangle,1e-8,2,16,168,split-patches,0.33,0,1,141,8.18994341e-09,1,1.7653e-05,0.002698683
triangle,1e-8,2,16,168,split,0.33,0.05,1,83,9.49966249e-09,1,0.000956588,0.002125246
triangle,1e-8,3,64,624,macro,0.33,0,1,27,6.79670312e-09,1,0.000353404,0.002825953
triangle,1e-8,3,64,624,macro-vertex,0.33,0,1,27,6.80435875e-09,1,0.000349508,0.003638891
triangle,1e-8,3,64,624,split-patches,0.33,0,1,362,9.14206802e-09,1,9.8986e-05,0.027168926
triangle,1e-8,3,64,624,split,0.33,0.05,1,110,9.11331999e-09,1,0.00466533,0.010960124
triangle,1e-8,4,256,2400,macro,0.33,0,1,32,6.47418221e-09,1,0.002847813,0.013038462
triangle,1e-8,4,256,2400,macro-vertex,0.33,0,1,32,6.47051526e-09,1,0.00144698,0.014530366
triangle,1e-8,4,256,2400,split-patches,0.33,0,1,856,7.73606875e-09,1,0.000381788,0.243324192
triangle,1e-8,4,256,2400,split,0.33,0.05,1,134,8.39757562e-09,1,0.01626099,0.051950073
triangle,1e-8,5,1024,9408,macro,0.33,0,1,34,9.33627852e-09,1,0.009998426,0.082778337
triangle,1e-8,5,1024,9408,macro-vertex,0.33,0,1,34,9.2253277e-09,1,0.008878782,0.096852075
triangle,1e-8,5,1024,9408,split-patches,0.33,0,1,2000,2.12080489e-08,0,0.002269887,2.49573068
triangle,1e-8,5,1024,9408,split,0.33,0.05,1,152,9.48856116e-09,1,0.071602187,0.269278564
square,1e-8,0,32,320,macro,0.33,0,1,1,2.84434633e-12,1,6.472e-06,9.4477e-05
square,1e-8,0,32,320,macro-vertex,0.33,0,1,1,2.84434633e-12,1,3.81e-07,8.1854e-05
square,1e-8,0,32,320,split-patches,0.33,0,1,1,2.84434633e-12,1,2.4e-07,8.011e-05
square,1e-8,0,32,320,split,0.33,0.05,1,1,2.84434633e-12,1,2.8e-07,7.956e-05
square,1e-8,1,128,1216,macro,0.33,0,1,28,3.73740054e-09,1,0.000588406,0.005107953
square,1e-8,1,128,1216,macro-vertex,0.33,0,1,28,3.73743794e-09,1,0.000540205,0.005545235
square,1e-8,1,128,1216,split-patches,0.33,0,1,233,8.9533315e-09,1,9.025e-05,0.032262912
square,1e-8,1,128,1216,split,0.33,0.05,1,107,7.83941299e-09,1,0.005961197,0.018284093
square,1e-8,2,512,4736,macro,0.33,0,1,33,2.84332418e-09,1,0.003700617,0.026273803
square,1e-8,2,512,4736,macro-vertex,0.33,0,1,33,2.84806242e-09,1,0.002851881,0.029787418
square,1e-8,2,512,4736,split-patches,0.33,0,1,592,9.92383364e-09,1,0.000673126,0.324127105
square,1e-8,2,512,4736,split,0.33,0.05,1,136,7.94651978e-09,1,0.029670408,0.098853628
