dataset,refinement,elements,dofs,smoother,damping,steps,iterations,residual,converged,setup_s,solve_s
triangle,0,1,15,macro,0.33,1,1,7.81566732e-14,1,8.245e-06,1.3646e-05
triangle,0,1,15,macro-vertex,0.33,1,1,7.81566732e-14,1,3.21e-07,3.346e-06
triangle,0,1,15,split,0.33,1,1,7.81566732e-14,1,2.1e-07,2.926e-06
triangle,1,4,48,macro,0.33,1,13,4.59145121e-09,1,2.656e-05,0.000104476
triangle,1,4,48,macro-vertex,0.33,1,13,4.59095843e-09,1,1.4578e-05,0.00010636
triangle,1,4,48,split,0.33,1,41,5.4593597e-09,1,5.631e-06,0.000232116
triangle,2,16,168,macro,0.33,1,20,6.21216118e-09,1,8.522e-05,0.000564079
triangle,2,16,168,macro-vertex,0.33,1,20,6.21119355e-09,1,7.5021e-05,0.000618751
triangle,2,16,168,split,0.33,1,141,8.18994341e-09,1,1.8425e-05,0.002806689
triangle,3,64,624,macro,0.33,1,27,6.79670312e-09,1,0.000373892,0.002913149
triangle,3,64,624,macro-vertex,0.33,1,27,6.80435875e-09,1,0.000363823,0.003413979
triangle,3,64,624,split,0.33,1,362,9.14206802e-09,1,0.000166543,0.027692818
triangle,4,256,2400,macro,0.33,1,32,6.47418221e-09,1,0.002603397,0.013416838
triangle,4,256,2400,macro-vertex,0.33,1,32,6.47051526e-09,1,0.001526957,0.015142157
triangle,4,256,2400,split,0.33,1,856,7.73606875e-09,1,0.000410621,0.252820695
triangle,5,1024,9408,macro,0.33,1,34,9.33627852e-09,1,0.010186914,0.081119176
triangle,5,1024,9408,macro-vertex,0.33,1,34,9.2253277e-09,1,0.009308174,0.09350585
triangle,5,1024,9408,split,0.33,1,2000,2.12080489e-08,0,0.001918883,2.58786261
square,0,32,320,macro,0.33,1,1,2.84434633e-12,1,8.225e-06,0.000104797
square,0,32,320,macro-vertex,0.33,1,1,2.84434633e-12,1,4.51e-07,8.9007e-05
square,0,32,320,split,0.33,1,1,2.84434633e-12,1,2.41e-07,8.2625e-05
square,1,128,1216,macro,0.33,1,28,3.73740054e-09,1,0.000634561,0.005445703
square,1,128,1216,macro-vertex,0.33,1,28,3.73743794e-09,1,0.000587503,0.005875019
square,1,128,1216,split,0.33,1,233,8.9533315e-09,1,0.00015443,0.034706775
square,2,512,4736,macro,0.33,1,33,2.84332418e-09,1,0.003850659,0.029324321
square,2,512,4736,macro-vertex,0.33,1,33,2.84806242e-09,1,0.00323344,0.036997376
square,2,512,4736,split,0.33,1,592,9.92383364e-09,1,0.000721996,0.345580784
square,3,2048,18688,macro,0.33,1,36,6.49750936e-09,1,0.020920063,0.194563477
square,3,2048,18688,macro-vertex,0.33,1,36,6.37296349e-09,1,0.018565604,0.213781946
square,3,2048,18688,split,0.33,1,2000,2.10586573e-08,0,0.002987849,6.16279502
triangle_two_sweeps,0,1,15,macro,0.33,2,1,7.81566732e-14,1,7.885e-06,1.4016e-05
triangle_two_sweeps,0,1,15,macro-vertex,0.33,2,1,7.81566732e-14,1,3.5e-07,3.256e-06
triangle_two_sweeps,0,1,15,split,0.33,2,1,7.81566732e-14,1,2e-07,2.826e-06
triangle_two_sweeps,1,4,48,macro,0.33,2,9,4.17569889e-10,1,2.7702e-05,0.000117891
